Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue
C587826,85123A,WHITE HANGING HEART T-LIGHT HOLDER,46.0,2010-07-25 02:39:32.703206,24.21,14262.0,United Kingdom,1113.66
C510115,84406B,CREAM CUPID HEARTS COAT HANGER,57.0,2011-09-21 08:16:17.036964,10.96,14414.0,United Kingdom,624.72
C553808,84406B,CREAM CUPID HEARTS COAT HANGER,10.0,2010-05-27 05:02:00.364741,15.1,17240.0,Germany,151.0
C522681,84406B,CREAM CUPID HEARTS COAT HANGER,4.0,2010-08-27 04:18:14.224924,10.75,17861.0,United Kingdom,43.0
C519251,84406B,CREAM CUPID HEARTS COAT HANGER,25.0,2010-05-09 18:30:10.765761,17.66,17122.0,United Kingdom,441.5
C536317,22632,HAND WARMER RED POLKA DOT,87.0,2010-02-12 17:38:13.283655,23.77,16993.0,United Kingdom,2067.99
C555679,85123A,WHITE HANGING HEART T-LIGHT HOLDER,91.0,2010-10-01 13:31:16.772232,22.01,12772.0,United Kingdom,2002.91
C537544,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,78.0,2010-06-12 06:34:03.729777,3.41,14492.0,United Kingdom,265.98
C560613,20719,WOODLAND CHARLOTTE BAG 16PE,61.0,2011-10-18 23:40:05.529953,16.48,12019.0,United Kingdom,1005.28
C549330,20719,WOODLAND CHARLOTTE BAG 16PE,38.0,2011-04-18 23:42:12.601235,0.67,17323.0,United Kingdom,25.46
C508015,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3.0,2010-04-07 08:29:16.407490,14.91,14405.0,United Kingdom,44.730000000000004
C544643,22752,SET 7 BABUSHKA NESTING BOXES,99.0,2010-03-20 13:16:27.273262,18.7,15363.0,United Kingdom,1851.3
C555478,84406B,CREAM CUPID HEARTS COAT HANGER,13.0,2010-11-30 06:15:00.088243,18.37,15426.0,United Kingdom,238.81
C568070,84029E,RED WOOLLY HOTTIE WHITE HEART,88.0,2010-05-03 11:24:54.852436,18.54,15108.0,France,1631.52
C524791,22632,HAND WARMER RED POLKA DOT,65.0,2010-08-21 18:03:21.196195,20.83,13333.0,United Kingdom,1353.9499999999998
C552091,21730,GLASS STAR FROSTED T-LIGHT HOLDER,76.0,2010-05-11 12:10:56.534954,2.17,13684.0,United Kingdom,164.92
C513734,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8.0,2010-07-14 02:41:22.831650,8.41,14964.0,United Kingdom,67.28
C554917,84029E,RED WOOLLY HOTTIE WHITE HEART,83.0,2010-08-29 11:52:35.250514,19.91,13605.0,United Kingdom,1652.53
C552028,84029E,RED WOOLLY HOTTIE WHITE HEART,9.0,2010-12-26 00:29:38.997940,12.58,17203.0,United Kingdom,113.22
C548136,84029E,RED WOOLLY HOTTIE WHITE HEART,28.0,2011-05-04 23:30:04.059221,17.52,14557.0,France,490.56
C595216,20719,WOODLAND CHARLOTTE BAG 16PE,78.0,2011-05-20 09:24:20.260809,12.81,12443.0,United Kingdom,999.1800000000001
C525812,22632,HAND WARMER RED POLKA DOT,91.0,2010-10-01 18:43:52.493381,24.47,14042.0,United Kingdom,2226.77
C531882,20719,WOODLAND CHARLOTTE BAG 16PE,18.0,2010-11-29 16:21:24.831846,23.44,17324.0,United Kingdom,421.92
C533775,84406B,CREAM CUPID HEARTS COAT HANGER,42.0,2010-04-23 23:54:55.028924,7.39,17607.0,Germany,310.38
C504829,22752,SET 7 BABUSHKA NESTING BOXES,41.0,2011-04-18 20:13:48.787136,9.95,12778.0,United Kingdom,407.95
C526714,22632,HAND WARMER RED POLKA DOT,33.0,2010-05-31 13:13:54.787724,3.05,13746.0,United Kingdom,100.64999999999999
C573593,21730,GLASS STAR FROSTED T-LIGHT HOLDER,89.0,2010-09-10 03:28:32.285518,10.4,17974.0,Germany,925.6
C594522,84406B,CREAM CUPID HEARTS COAT HANGER,77.0,2010-11-13 06:08:21.931561,19.48,17150.0,United Kingdom,1499.96
C585104,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,87.0,2010-03-04 01:19:12.465928,22.21,12420.0,United Kingdom,1932.27
C557717,22752,SET 7 BABUSHKA NESTING BOXES,36.0,2011-01-01 21:28:30.167663,0.86,13851.0,United Kingdom,30.96
C516362,84406B,CREAM CUPID HEARTS COAT HANGER,97.0,2011-03-12 15:35:48.563584,19.83,14108.0,United Kingdom,1923.5099999999998
C534054,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85.0,2011-10-31 05:09:37.821355,12.81,16674.0,United Kingdom,1088.8500000000001
C590479,22752,SET 7 BABUSHKA NESTING BOXES,98.0,2010-09-14 01:15:15.266202,5.55,17345.0,France,543.9
C570009,85123A,WHITE HANGING HEART T-LIGHT HOLDER,56.0,2011-08-17 19:53:37.374252,12.72,15996.0,United Kingdom,712.32
C504920,22632,HAND WARMER RED POLKA DOT,17.0,2010-05-19 23:22:09.659770,21.18,13358.0,France,360.06
C517678,22752,SET 7 BABUSHKA NESTING BOXES,87.0,2010-10-28 02:52:06.659476,24.77,14626.0,United Kingdom,2154.99
C596750,85123A,WHITE HANGING HEART T-LIGHT HOLDER,44.0,2011-11-08 23:17:38.574370,15.61,14687.0,Germany,686.8399999999999
C536744,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2.0,2011-11-01 05:28:24.520050,12.5,16206.0,United Kingdom,25.0
C565709,21730,GLASS STAR FROSTED T-LIGHT HOLDER,41.0,2011-08-04 07:08:30.755956,15.46,17932.0,United Kingdom,633.86
C598089,84029E,RED WOOLLY HOTTIE WHITE HEART,80.0,2010-04-13 12:06:08.506716,13.67,17492.0,United Kingdom,1093.6
C589245,22752,SET 7 BABUSHKA NESTING BOXES,89.0,2011-06-19 15:19:17.407588,21.17,14172.0,Spain,1884.13
C503834,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2.0,2011-10-01 21:49:15.466222,13.98,16064.0,United Kingdom,27.96
C579725,20719,WOODLAND CHARLOTTE BAG 16PE,2.0,2010-08-29 20:33:34.785763,5.64,15753.0,United Kingdom,11.28
C589925,20719,WOODLAND CHARLOTTE BAG 16PE,51.0,2011-06-16 23:03:56.846749,18.56,15829.0,United Kingdom,946.56
C546758,22632,HAND WARMER RED POLKA DOT,10.0,2011-03-20 05:56:38.803804,1.81,17971.0,United Kingdom,18.1
C558036,71053,WHITE METAL LANTERN,48.0,2009-12-22 06:34:20.672614,10.94,12411.0,United Kingdom,525.12
C527605,85123A,WHITE HANGING HEART T-LIGHT HOLDER,56.0,2011-11-21 23:53:21.843317,24.86,13422.0,United Kingdom,1392.1599999999999
C561758,21730,GLASS STAR FROSTED T-LIGHT HOLDER,56.0,2010-02-02 07:33:38.668496,13.65,13676.0,United Kingdom,764.4
C585016,85123A,WHITE HANGING HEART T-LIGHT HOLDER,50.0,2010-08-31 12:30:08.647906,4.67,17282.0,United Kingdom,233.5
C585544,71053,WHITE METAL LANTERN,95.0,2010-10-27 14:42:43.310128,11.26,13646.0,United Kingdom,1069.7
C505553,85123A,WHITE HANGING HEART T-LIGHT HOLDER,45.0,2010-01-21 05:32:30.191195,23.22,14711.0,United Kingdom,1044.8999999999999
C575834,22633,HAND WARMER UNION JACK,89.0,2011-01-24 02:37:25.631924,19.96,15959.0,United Kingdom,1776.44
C512464,84029E,RED WOOLLY HOTTIE WHITE HEART,59.0,2010-02-02 12:46:14.389646,19.66,17184.0,Germany,1159.94
C599869,22633,HAND WARMER UNION JACK,39.0,2009-12-26 02:36:51.746249,9.17,13239.0,United Kingdom,357.63
C508500,21730,GLASS STAR FROSTED T-LIGHT HOLDER,55.0,2011-04-22 11:03:44.139621,9.52,13937.0,United Kingdom,523.6
C524729,22633,HAND WARMER UNION JACK,57.0,2011-11-20 21:50:23.237572,1.48,12025.0,United Kingdom,84.36
C525542,22752,SET 7 BABUSHKA NESTING BOXES,41.0,2010-04-13 06:53:32.785567,16.13,16679.0,United Kingdom,661.3299999999999
C596239,21730,GLASS STAR FROSTED T-LIGHT HOLDER,93.0,2011-12-03 20:41:54.599470,9.38,13067.0,United Kingdom,872.34
C501163,71053,WHITE METAL LANTERN,70.0,2010-09-20 01:23:43.551328,4.27,17209.0,France,298.9
C551968,22633,HAND WARMER UNION JACK,82.0,2011-08-14 06:47:53.928816,23.4,17252.0,United Kingdom,1918.8
C581477,84029E,RED WOOLLY HOTTIE WHITE HEART,49.0,2011-04-14 06:49:18.643004,16.11,17280.0,Germany,789.39
C557728,21730,GLASS STAR FROSTED T-LIGHT HOLDER,44.0,2010-06-09 21:15:30.797136,23.54,17863.0,France,1035.76
C551947,85123A,WHITE HANGING HEART T-LIGHT HOLDER,35.0,2011-02-18 08:42:41.192273,14.78,12379.0,United Kingdom,517.3
C594831,84029E,RED WOOLLY HOTTIE WHITE HEART,91.0,2010-08-04 10:59:55.411314,2.06,13284.0,Germany,187.46
C599360,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5.0,2011-12-08 15:19:00.464751,1.23,17502.0,United Kingdom,6.15
C589265,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,74.0,2011-01-13 04:23:27.667418,15.57,15747.0,United Kingdom,1152.18
C515719,71053,WHITE METAL LANTERN,51.0,2011-11-10 06:33:12.901264,7.8,17196.0,United Kingdom,397.8
C585996,85123A,WHITE HANGING HEART T-LIGHT HOLDER,58.0,2011-06-27 02:11:43.833709,7.48,17132.0,United Kingdom,433.84000000000003
C503774,22632,HAND WARMER RED POLKA DOT,92.0,2011-09-15 09:52:00.658888,1.41,17689.0,United Kingdom,129.72
C501459,84029E,RED WOOLLY HOTTIE WHITE HEART,36.0,2010-08-29 06:39:59.529365,18.41,15927.0,United Kingdom,662.76
C563310,22752,SET 7 BABUSHKA NESTING BOXES,10.0,2010-11-10 13:53:01.370722,8.12,16120.0,United Kingdom,81.19999999999999
C500005,71053,WHITE METAL LANTERN,50.0,2011-09-21 16:57:16.572212,13.99,12545.0,United Kingdom,699.5
C572474,20719,WOODLAND CHARLOTTE BAG 16PE,99.0,2011-07-16 01:11:43.480733,19.46,17259.0,United Kingdom,1926.5400000000002
C575369,20719,WOODLAND CHARLOTTE BAG 16PE,99.0,2011-05-17 11:56:23.978821,17.72,12274.0,United Kingdom,1754.28
C573704,85123A,WHITE HANGING HEART T-LIGHT HOLDER,37.0,2010-01-15 08:52:25.720168,9.04,15441.0,United Kingdom,334.47999999999996
C503829,21730,GLASS STAR FROSTED T-LIGHT HOLDER,13.0,2010-04-05 02:39:07.288949,23.18,15108.0,United Kingdom,301.34
C514148,22752,SET 7 BABUSHKA NESTING BOXES,75.0,2011-02-16 01:08:20.166683,15.44,14922.0,United Kingdom,1158.0
C554502,20719,WOODLAND CHARLOTTE BAG 16PE,19.0,2010-10-04 09:15:01.147171,17.74,17248.0,United Kingdom,337.05999999999995
C538288,85123A,WHITE HANGING HEART T-LIGHT HOLDER,92.0,2011-03-03 04:05:48.740072,21.71,15387.0,United Kingdom,1997.3200000000002
C586800,22633,HAND WARMER UNION JACK,45.0,2010-01-09 19:09:08.877340,9.11,17552.0,United Kingdom,409.95
C557960,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,60.0,2010-02-25 18:13:56.552603,24.8,13870.0,United Kingdom,1488.0
C509077,84029E,RED WOOLLY HOTTIE WHITE HEART,68.0,2011-09-29 21:11:42.068830,1.2,16013.0,Netherlands,81.6
C539718,21730,GLASS STAR FROSTED T-LIGHT HOLDER,57.0,2011-12-05 21:19:27.996862,24.67,17367.0,United Kingdom,1406.19
C598464,22633,HAND WARMER UNION JACK,54.0,2010-02-14 02:37:59.517599,6.53,12110.0,United Kingdom,352.62
C542177,20719,WOODLAND CHARLOTTE BAG 16PE,37.0,2011-10-18 02:49:42.645357,11.29,13755.0,United Kingdom,417.72999999999996
C516551,21730,GLASS STAR FROSTED T-LIGHT HOLDER,83.0,2010-11-15 10:14:19.143053,22.15,16803.0,United Kingdom,1838.4499999999998
C504439,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,14.0,2011-09-14 06:04:50.146092,6.01,13528.0,France,84.14
C586027,20719,WOODLAND CHARLOTTE BAG 16PE,95.0,2011-12-04 19:16:29.391116,16.26,12551.0,United Kingdom,1544.7
C585525,85123A,WHITE HANGING HEART T-LIGHT HOLDER,92.0,2010-06-30 20:53:03.841553,17.78,12133.0,Netherlands,1635.7600000000002
C575281,20719,WOODLAND CHARLOTTE BAG 16PE,44.0,2010-09-21 12:07:41.692322,0.68,14911.0,United Kingdom,29.92
C537437,22632,HAND WARMER RED POLKA DOT,83.0,2010-04-11 02:47:35.574075,11.54,14013.0,Netherlands,957.8199999999999
C553179,84406B,CREAM CUPID HEARTS COAT HANGER,42.0,2011-06-26 19:14:56.205510,12.48,15262.0,United Kingdom,524.16
C523118,84406B,CREAM CUPID HEARTS COAT HANGER,1.0,2010-03-25 04:25:09.324443,7.16,17282.0,United Kingdom,7.16
C584457,20719,WOODLAND CHARLOTTE BAG 16PE,23.0,2009-12-12 17:20:08.942053,13.88,17180.0,United Kingdom,319.24
C579014,22632,HAND WARMER RED POLKA DOT,64.0,2011-09-09 20:08:43.816060,4.29,17124.0,United Kingdom,274.56
C598248,20719,WOODLAND CHARLOTTE BAG 16PE,28.0,2009-12-07 20:58:51.169722,8.43,13060.0,United Kingdom,236.04
C579582,71053,WHITE METAL LANTERN,60.0,2010-03-29 23:02:15.189724,14.94,14022.0,Germany,896.4
C502664,84406B,CREAM CUPID HEARTS COAT HANGER,18.0,2011-01-22 07:12:27.955681,2.33,17847.0,United Kingdom,41.94
C534557,71053,WHITE METAL LANTERN,63.0,2011-03-19 09:06:15.919207,17.13,14186.0,United Kingdom,1079.1899999999998
C553254,85123A,WHITE HANGING HEART T-LIGHT HOLDER,61.0,2011-02-11 01:18:38.580252,22.49,14665.0,United Kingdom,1371.8899999999999
C503234,71053,WHITE METAL LANTERN,49.0,2011-09-21 23:54:04.200411,12.86,15170.0,United Kingdom,630.14
C546274,22633,HAND WARMER UNION JACK,47.0,2010-07-18 03:56:29.626433,12.6,14727.0,Germany,592.1999999999999
C549470,22632,HAND WARMER RED POLKA DOT,39.0,2010-02-18 22:59:17.289930,24.79,15335.0,Netherlands,966.81
C518561,71053,WHITE METAL LANTERN,89.0,2010-07-09 16:45:16.501617,16.09,14646.0,France,1432.01
C575884,21730,GLASS STAR FROSTED T-LIGHT HOLDER,82.0,2010-12-08 22:38:48.934209,20.25,12595.0,United Kingdom,1660.5
C543513,84029E,RED WOOLLY HOTTIE WHITE HEART,6.0,2010-09-27 15:44:33.791548,16.34,16106.0,United Kingdom,98.03999999999999
C594451,22632,HAND WARMER RED POLKA DOT,53.0,2010-10-29 04:55:05.265222,7.46,17817.0,United Kingdom,395.38
C512594,22752,SET 7 BABUSHKA NESTING BOXES,76.0,2010-08-06 20:18:28.343955,16.81,15421.0,United Kingdom,1277.56
C530504,85123A,WHITE HANGING HEART T-LIGHT HOLDER,25.0,2010-07-15 18:37:56.693793,11.67,14278.0,United Kingdom,291.75
C500900,84029E,RED WOOLLY HOTTIE WHITE HEART,99.0,2010-03-25 23:31:20.301990,10.41,13164.0,United Kingdom,1030.59
C533516,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5.0,2011-07-03 17:57:59.282282,22.17,16860.0,Germany,110.85000000000001
C555296,22633,HAND WARMER UNION JACK,65.0,2011-07-25 16:10:07.118344,22.17,16144.0,Germany,1441.0500000000002
C554024,20719,WOODLAND CHARLOTTE BAG 16PE,8.0,2011-12-06 23:22:26.602608,11.79,12450.0,United Kingdom,94.32
C569825,84029E,RED WOOLLY HOTTIE WHITE HEART,39.0,2011-04-19 20:32:35.485831,17.67,13798.0,United Kingdom,689.1300000000001
C564450,22632,HAND WARMER RED POLKA DOT,43.0,2010-11-24 13:03:19.431316,4.86,16586.0,United Kingdom,208.98000000000002
C530841,22632,HAND WARMER RED POLKA DOT,82.0,2011-04-01 06:13:35.374056,12.84,13892.0,United Kingdom,1052.8799999999999
C576139,22632,HAND WARMER RED POLKA DOT,73.0,2010-12-16 21:40:38.709677,11.25,17528.0,United Kingdom,821.25
C533795,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5.0,2010-04-28 04:38:25.637807,16.59,14454.0,United Kingdom,82.95
C577972,71053,WHITE METAL LANTERN,4.0,2011-01-04 15:28:02.635552,12.01,17170.0,United Kingdom,48.04
C544092,84406B,CREAM CUPID HEARTS COAT HANGER,93.0,2010-08-12 23:55:20.443180,12.71,14222.0,United Kingdom,1182.03
C599444,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1.0,2011-05-23 15:33:16.078046,7.74,15808.0,United Kingdom,7.74
C547949,20719,WOODLAND CHARLOTTE BAG 16PE,94.0,2010-02-03 09:36:37.274242,1.69,13284.0,United Kingdom,158.85999999999999
C595369,22632,HAND WARMER RED POLKA DOT,56.0,2010-10-23 08:15:00.794195,22.97,14527.0,United Kingdom,1286.32
C504553,22752,SET 7 BABUSHKA NESTING BOXES,65.0,2010-12-31 21:09:43.468967,7.39,12222.0,United Kingdom,480.34999999999997
C530714,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3.0,2011-09-04 06:25:26.973232,11.47,16364.0,United Kingdom,34.410000000000004
C515441,22632,HAND WARMER RED POLKA DOT,22.0,2010-10-08 01:49:08.406706,8.32,12900.0,United Kingdom,183.04000000000002
C550906,22752,SET 7 BABUSHKA NESTING BOXES,72.0,2010-02-27 08:26:18.507696,14.02,17014.0,United Kingdom,1009.4399999999999
C523376,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,56.0,2011-11-08 00:43:03.782723,11.81,14365.0,United Kingdom,661.36
C594921,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,18.0,2011-09-05 01:31:37.950779,6.76,16480.0,United Kingdom,121.67999999999999
C534378,84406B,CREAM CUPID HEARTS COAT HANGER,25.0,2011-07-25 19:38:30.932444,2.66,13609.0,United Kingdom,66.5
C593230,21730,GLASS STAR FROSTED T-LIGHT HOLDER,48.0,2010-01-18 13:17:09.630355,3.87,16721.0,France,185.76
C513650,84406B,CREAM CUPID HEARTS COAT HANGER,84.0,2011-09-06 01:50:24.649475,12.41,15290.0,United Kingdom,1042.44
C558831,71053,WHITE METAL LANTERN,31.0,2011-02-27 06:19:05.759388,21.23,13223.0,United Kingdom,658.13
C598549,22633,HAND WARMER UNION JACK,81.0,2011-07-05 04:41:57.423276,7.28,17810.0,United Kingdom,589.6800000000001
C509469,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10.0,2009-12-07 01:52:40.192175,16.87,15969.0,Germany,168.70000000000002
C580437,84029E,RED WOOLLY HOTTIE WHITE HEART,71.0,2011-11-27 04:55:39.150897,17.32,17871.0,United Kingdom,1229.72
C572378,22632,HAND WARMER RED POLKA DOT,59.0,2011-03-28 01:30:04.765173,17.84,13268.0,United Kingdom,1052.56
C510520,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9.0,2010-10-24 12:02:11.306990,10.26,17748.0,United Kingdom,92.34
C596322,22752,SET 7 BABUSHKA NESTING BOXES,54.0,2011-08-03 10:18:07.871359,6.47,13231.0,United Kingdom,349.38
C548780,20719,WOODLAND CHARLOTTE BAG 16PE,62.0,2010-11-24 18:15:55.152465,13.82,16068.0,United Kingdom,856.84
C529886,84029E,RED WOOLLY HOTTIE WHITE HEART,9.0,2011-11-26 15:02:03.894499,22.14,17378.0,Germany,199.26
C574032,21730,GLASS STAR FROSTED T-LIGHT HOLDER,24.0,2009-12-28 01:30:13.236591,13.54,12737.0,United Kingdom,324.96
C590904,85123A,WHITE HANGING HEART T-LIGHT HOLDER,39.0,2010-08-14 22:48:41.933522,11.2,16436.0,United Kingdom,436.79999999999995
C549146,21730,GLASS STAR FROSTED T-LIGHT HOLDER,75.0,2011-10-04 00:11:00.770663,7.01,14979.0,United Kingdom,525.75
C561771,22633,HAND WARMER UNION JACK,8.0,2011-11-06 22:40:05.176978,6.63,13951.0,United Kingdom,53.04
C526613,22633,HAND WARMER UNION JACK,25.0,2011-04-22 12:47:56.046671,6.3,13781.0,United Kingdom,157.5
C514084,22632,HAND WARMER RED POLKA DOT,66.0,2011-06-02 10:00:03.529757,20.82,12529.0,Germany,1374.1200000000001
C510908,22752,SET 7 BABUSHKA NESTING BOXES,10.0,2011-04-04 10:38:19.284243,24.63,16129.0,United Kingdom,246.29999999999998
C527396,22752,SET 7 BABUSHKA NESTING BOXES,24.0,2010-10-19 19:09:17.348759,13.6,16418.0,United Kingdom,326.4
C545606,71053,WHITE METAL LANTERN,80.0,2010-08-20 03:50:59.241102,2.46,13204.0,France,196.8
C501360,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,59.0,2010-09-16 01:52:48.663594,21.99,12346.0,United Kingdom,1297.4099999999999
C574781,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,31.0,2010-03-08 19:56:18.331208,23.32,17825.0,Netherlands,722.92
C504353,22633,HAND WARMER UNION JACK,11.0,2010-05-26 13:24:13.201294,15.9,13215.0,United Kingdom,174.9
C582702,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6.0,2010-06-18 11:55:07.736052,12.92,17698.0,United Kingdom,77.52
C535378,20719,WOODLAND CHARLOTTE BAG 16PE,70.0,2010-01-19 01:26:32.979703,15.7,14768.0,United Kingdom,1099.0
C565769,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,39.0,2011-04-19 15:19:59.764682,16.56,12244.0,United Kingdom,645.8399999999999
C526649,85123A,WHITE HANGING HEART T-LIGHT HOLDER,48.0,2011-04-06 23:25:16.030983,17.89,14725.0,Netherlands,858.72
C576159,84406B,CREAM CUPID HEARTS COAT HANGER,13.0,2011-05-31 16:19:17.760564,18.19,17927.0,France,236.47000000000003
C515895,84029E,RED WOOLLY HOTTIE WHITE HEART,59.0,2010-05-12 09:01:19.419550,14.3,15051.0,Germany,843.7
C520872,22752,SET 7 BABUSHKA NESTING BOXES,67.0,2010-09-15 15:27:37.221296,17.65,12132.0,United Kingdom,1182.55
C533606,22632,HAND WARMER RED POLKA DOT,41.0,2010-01-09 06:59:45.527992,3.33,14096.0,Netherlands,136.53
C561549,22632,HAND WARMER RED POLKA DOT,38.0,2010-05-20 18:28:20.637317,18.33,13891.0,United Kingdom,696.54
C587514,22633,HAND WARMER UNION JACK,81.0,2009-12-09 23:20:36.474164,8.9,13720.0,United Kingdom,720.9
C550246,85123A,WHITE HANGING HEART T-LIGHT HOLDER,76.0,2011-02-27 13:15:53.387587,17.14,14260.0,United Kingdom,1302.64
C516568,22752,SET 7 BABUSHKA NESTING BOXES,88.0,2010-02-25 13:01:20.831454,23.83,17636.0,France,2097.04
C588665,22632,HAND WARMER RED POLKA DOT,70.0,2010-09-28 07:22:20.954995,22.94,12118.0,United Kingdom,1605.8000000000002
C572438,21730,GLASS STAR FROSTED T-LIGHT HOLDER,11.0,2011-11-22 05:05:57.564467,16.3,14903.0,United Kingdom,179.3
C538270,84029E,RED WOOLLY HOTTIE WHITE HEART,27.0,2010-03-24 11:03:10.253946,4.56,14808.0,United Kingdom,123.11999999999999
C562330,71053,WHITE METAL LANTERN,48.0,2011-04-04 17:35:06.912442,23.79,12894.0,United Kingdom,1141.92
C554930,71053,WHITE METAL LANTERN,18.0,2009-12-20 09:25:11.089322,3.03,12362.0,Australia,54.54
C568265,85123A,WHITE HANGING HEART T-LIGHT HOLDER,27.0,2010-11-04 17:12:56.899696,11.53,13773.0,United Kingdom,311.31
C562417,84406B,CREAM CUPID HEARTS COAT HANGER,54.0,2010-09-06 02:13:25.490734,13.93,17836.0,Germany,752.22
C582233,22633,HAND WARMER UNION JACK,21.0,2011-03-10 06:17:15.630944,5.15,17632.0,United Kingdom,108.15
C515960,20719,WOODLAND CHARLOTTE BAG 16PE,34.0,2011-02-12 17:15:12.442396,24.1,15465.0,United Kingdom,819.4000000000001
C586015,20719,WOODLAND CHARLOTTE BAG 16PE,58.0,2011-10-31 19:03:13.077752,22.85,16367.0,United Kingdom,1325.3000000000002
C519123,84029E,RED WOOLLY HOTTIE WHITE HEART,48.0,2010-09-20 23:58:18.342974,22.52,17156.0,United Kingdom,1080.96
C599230,21730,GLASS STAR FROSTED T-LIGHT HOLDER,54.0,2011-08-15 05:22:28.720462,21.5,13789.0,United Kingdom,1161.0
